p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.2668815933618487,0.939,0.607,0,0,GZMA
0,0.265865524298314,0.411,0.27,0,0,NXT1
0,0.265373207827966,0.299,0.148,0,0,KPNA2
0,0.26519598720107895,0.943,0.646,0,0,TNFAIP3
0,0.2649838688786639,0.815,0.704,0,0,CALR
0,0.26326228269874374,0.491,0.33,0,0,RUNX3
0,0.2615529162214693,0.354,0.169,0,0,DDX3Y
0,0.25927079261148567,0.93,0.742,0,0,CD69
0,0.2584834603222719,1,0.999,0,0,HLA-B
0,0.2584316377981333,0.945,0.861,0,0,ARPC2
0,0.25821162132206577,0.296,0.158,0,0,MIDN
0,0.2581913631651034,0.826,0.705,0,0,BIN2
0,0.25787076557961575,0.919,0.824,0,0,TPM3
0,0.2578667947033729,0.444,0.255,0,0,CEMIP2
0,0.2560154307046263,0.995,0.956,0,0,CFL1
0,0.2511079273352794,0.955,0.878,0,0,RHOA
0,1.2905821625761842,0.413,0.062,0,1,TRBV19
0,0.8620368734145982,0.805,0.421,0,1,RGCC
0,0.8352444068264964,0.998,0.752,0,1,FOS
0,0.7418930579135962,0.429,0.047,0,1,LGALS3
0,0.7185370489227019,0.993,0.831,0,1,ZFP36
0,0.7115128764270777,0.557,0.176,0,1,LMNA
0,0.7071415913245898,0.642,0.226,0,1,GPR183
0,0.6980646812204911,0.985,0.653,0,1,TNFAIP3
0,0.6917393471033346,0.964,0.607,0,1,NFKBIA
0,0.6575324389894548,0.987,0.674,0,1,PPP1R15A
0,0.6202078438491493,0.365,0.07,0,1,PHLDA1
0,0.5936245067206332,0.999,0.969,0,1,ZFP36L2
0,0.5901060166678413,0.837,0.431,0,1,CSRNP1
0,0.5896643423186512,0.87,0.486,0,1,FOSB
0,0.589208681279739,0.993,0.816,0,1,KLF6
0,0.5878848153782248,0.999,0.902,0,1,JUN
0,0.5844658615691409,0.845,0.532,0,1,LYAR
0,0.5781789174080931,0.923,0.65,0,1,ANXA1
0,0.5637810337215327,0.645,0.313,0,1,TOB1
0,0.5531438283992434,0.902,0.694,0,1,TUBA1A
0,0.5500908189457243,0.639,0.333,0,1,GATA3
0,0.5493109574678723,0.621,0.311,0,1,HOPX
0,0.5231655833618758,0.998,0.928,0,1,JUNB
0,0.5215218851119271,0.629,0.303,0,1,PLP2
0,0.5187913278280556,0.909,0.589,0,1,LTB
0,0.5155993380851552,0.266,0.06,0,1,CDKN1A
0,0.48840429431307186,0.51,0.193,0,1,PDE4D
0,0.4831640515696436,0.997,0.832,0,1,DUSP1
0,0.4828099029019015,0.843,0.476,0,1,NR4A2
0,0.4768537896248527,0.292,0.103,0,1,EGR1
0,0.4742065388468899,1,0.961,0,1,FTH1
0,0.47196684579765424,0.993,0.902,0,1,TSC22D3
0,0.46992467156941164,0.959,0.759,0,1,DNAJB1
0,0.4521537950974553,0.468,0.182,0,1,TIMP1
0,0.44892337491098644,0.96,0.816,0,1,S100A10
0,0.4479428875776056,0.434,0.113,0,1,ZNF683
0,0.4479176430919116,0.758,0.447,0,1,MYADM
0,0.4474437626254628,0.542,0.237,0,1,ARL4A
0,0.4266910913941184,0.799,0.516,0,1,ARHGAP15
0,0.4225558735311355,0.373,0.12,0,1,NPDC1
0,0.42241691410329985,0.958,0.747,0,1,CD69
0,0.42061068277806113,0.986,0.926,0,1,VIM
0,0.4132428528768759,0.799,0.501,0,1,RPS4Y1
0,0.4079911980591956,0.422,0.16,0,1,SOCS3
0,0.4006840037131627,0.951,0.811,0,1,KLF2
0,0.3742542558911308,0.658,0.378,0,1,ITGB1
0,0.37210178818889506,0.593,0.322,0,1,PMAIP1
0,0.3609045088586069,0.943,0.684,0,1,IL7R
0,0.33752072543113476,0.542,0.289,0,1,JUND
0,0.32599563262528464,0.927,0.771,0,1,TAGLN2
0,0.3253883180492385,0.45,0.275,0,1,LGALS1
0,0.32132235440473156,0.402,0.21,0,1,CTSA
0,0.32034621115043826,0.976,0.881,0,1,FXYD5
0,0.3183614642787278,0.864,0.664,0,1,LEPROTL1
0,0.3126468532770965,0.952,0.825,0,1,IER2
0,0.30473209059755196,0.302,0.115,0,1,RRP12
